ANET#	PlMN	PlSD	AroMN	AroSD	DomMN	DomSD	Set	Sentence
1300	2.86	1.85	7.71	1.77	3.51	2.13	A	The dog strains forward, snarling, and suddenly leaps out at you.
1350	2.98	1.74	7.1	1.84	3.91	2.12	B	You jump back, muscles tense, as the large dog strains against the chain, slobbering with teeth bared, leaping and snarling in a crazy rage.
1460	7.44	1.71	3.53	2.28	6.69	1.82	A	Your new kitten nestles comfortably in your lap as you stroke her fur.
1500	1.89	1.54	7.94	1.79	2.27	1.92	A	The snake darts forward, jaws open, and sinks its fangs into your leg.
1620	7.16	1.49	4.63	1.82	5.31	1.76	A	Hiking around the national park, you see a fawn nuzzling her mother.
1940	1.81	1.29	8	1.77	2.58	1.89	B	You awake, heart pounding, startled in the darkness.  A snake has crawled into your sleeping bag.  It slides along your leg. You struggle frantically trying to get out.
1950	4.2	1.92	5.81	2.15	5.27	2.36	B	You watch a giant snake coiled in a display case.  You freeze, as the snake’s eyes move in your direction, and a red forked-tongue darts out.
1960	1.7	1.21	7.65	2.11	2.32	1.73	B	You step on something in the leaves, and suddenly a snake – mouth gaping, fangs protruding—is hurtling at you. It strikes; you feel a sharp, stabbing pain.
2120	5.36	1.53	4.06	1.85	5.68	1.57	A	You wash and rinse the dishes in the sink while your roommate vacuums.
2130	7.41	1.42	2.21	1.6	6.76	1.77	B	You are lying in bed on a Sunday morning, half asleep and listening to the distant sound of bells, relaxing on your day off.
2210	6.65	1.59	2.31	1.6	6.5	1.78	B	It’s a quiet day without much to do.  You’re sitting around your place, resting, reading, and looking out the window-- where leaves swirl gently in the wind.
2222	6.34	1.68	5.31	2.22	6.28	1.98	A	You concentrate fully, hearing nothing, as you play your new video game.
2230	6.08	1.41	3.43	2.08	6.37	1.72	A	You sit at the kitchen table, drinking your morning coffee and reading the paper.
2240	6.74	1.7	2.27	1.68	6.83	1.83	B	It’s good to be able to do nothing and just stretch out on the couch.  The television is on with the sound off.  You can hear the low rumble of traffic in the distance.
2250	6.44	1.56	2.63	1.71	6.48	1.67	B	You are relaxing on a lawn chair, looking out into the garden. A child’s tricycle is abandoned on the grass.  You hear the low buzz of a lawn mower in the distance.
2380	8.47	1.31	5.47	2.38	7.88	1.64	B	It’s a beautiful day and you’re heading a new convertible to the beach.  The CD player is blasting, and you’re singing along at the top of your voice.
2500	2.08	1.32	7.55	1.96	2.31	1.58	B	Panic comes out of the blue.  No warning.  Your heart’s racing.  You can’t get your breath.  Thoughts whirl:  “I’m going crazy. Am I going to die?”
2510	1.78	1.26	7.69	1.86	2.08	1.71	B	People are all around you, pressing closer.  It’s hard to breath.  You’re flushed, sweaty, dizzy—confused.  You realize it’s another attack and this time, you think, “I will die.”
2520	5.65	1.3	3.85	1.82	6.5	1.83	A	You walk through the grocery aisles, adding necessary items to your cart.
2530	2.15	1.45	3.32	1.7	3.09	1.6	A	You’ve been sick all week, lying on a lumpy couch with a bad cold.
2540	5.54	1.19	3.38	1.75	6.7	1.67	B	You walk through the supermarket aisles checking things off your list as you pick each item you need off the shelves.
2550	7.77	1.31	2.53	2.05	6.47	1.85	A	You lie lazily in the hammock as a gentle summer breeze rocks you.
2560	8	1.29	5.05	2.08	5.95	1.7	A	You lounge around the crowded table, laughing with your family.
2570	8.31	1.41	6.71	2.01	7.41	1.69	B	The boss smiles and shakes your hand.  “You’ll receive a very big raise in pay.  Good work!” he says.  Your heart skips a beat.  Someone shouts congratulations.  You smile back.
2580	5.55	1.17	3.6	1.98	6.46	1.69	B	You run the comb through your hair, straighten your collar, smooth out the shirt’s wrinkles.  Water is running in the sink.  You turn it off and leave.
2590	5.07	1.6	2.89	1.87	5.78	1.99	A	Sitting on the couch with the remote, you aimlessly flip through TV channels.
2600	2.07	1.36	7.48	1.83	2.51	1.82	B	You’ve waited endlessly at the check-out counter.  Trapped.  Others crowd against you. There’s a sudden rushing in your head.  You gasp for breath, chest tight, temples throbbing.  Is it a heart attack?
2610	5.37	1.32	3.13	1.69	6.11	1.76	B	You are sitting at the kitchen table with yesterday’s newspaper in front of you.  You push back the chair when you hear the coffee maker slow to a stop.
2640	8.56	1.36	7.65	1.56	5.8	1.89	A	You laugh so hard with your friends that tears pour down your face.
2670	7.47	1.47	2.66	1.64	6.9	1.83	B	A wood fire dances in the hearth, you feel snug and warm in the cabin, reading the book on your lap, enjoying a well-deserved rest.
2750	2.43	1.31	6.33	1.83	4.3	1.89	B	A vagrant, wino, approaches you, yellow teeth and scabs on his face, clothes smelling of mold and urine. You cringe as his hand touches your sleeve.
2770	8.2	1.39	6.49	1.81	6.89	1.82	B	She really likes your gift.  As soon she saw it, she screamed with joy:  “Thank you. It’s just perfect. Fantastic!”  Your heart beats with pleasure, when she leaps up and hugs you.
2840	6.13	1.57	3.51	1.95	6.22	1.82	A	The tangles easily come out of your hair as you carefully brush through it.
2850	6.84	1.53	4.46	1.94	7.06	1.52	B	You unfold the map, spread it out on the table, and with your finger trace a route south towards the beach. You refold the map, pick up your bag, and leave.
2860	6.3	1.81	2.19	1.63	6.26	1.9	B	Its a quiet day, and without much to do you sit around your place, reading magazines and looking out the window.
2880	4.63	1.14	4.96	1.56	4.4	1.51	A	Your friend whispers to you in a meeting, and you strain to catch the words.
2900	1.57	1.11	7.97	1.82	3.24	2.7	A	At the party, you see your best friend secretly kissing your current lover.
2910	1.63	1.34	5.49	2.6	2.03	1.69	A	Your heart sinks as you realize you love someone who does not love you.
3300	1.54	1.38	8.18	1.5	2.3	2.07	A	Your friend is hit by a speeding car and blood pumps onto the road.
3310	1.3	1.08	8.15	1.54	2.36	1.76	B	You flinch, at the screech of brakes; you look up, and see the speeding car slam into your friend. Her leg is crushed, the artery torn, and blood pumps on the road.
4100	8.22	1.34	6.65	2.06	6.44	1.9	A	You raise your champagne glass and greet the new year with your lover.
4300	7.59	1.8	7.63	1.68	5.23	2.13	B	As soon as you saw each other, the affair began.  You remember beautiful eyes looking straight into yours-- your heart in your throat, at the first touch.
4400	8.28	1.22	7.91	1.5	5.9	1.96	B	You shiver as your bodies brush together.  You reach out.  You want to touch everywhere, kiss everywhere. You hear the words, “I love you”.
4450	8.28	1.1	7.54	1.81	5.67	2.11	A	When your lover touches you, you moan softly and move closer.
4600	8	1.37	7.17	2.24	5.85	1.77	B	Music murmurs in the background.  You’re together in the big bed, naked but apart, eyes locked.  You feel fingers barely touching, gliding softly along your thigh.
4620	8.05	1.5	4.14	2.69	5.95	1.85	A	You walk hand in hand on the beach, not needing to say anything at all.
4640	8.35	1.37	7.34	1.96	5.78	2	A	Your heart soars as you look into the familiar face of the one you love.
4650	8.34	0.91	8.1	1.32	6.2	1.75	B	You are both aroused, breathless.  You fall together on the couch.  Kisses on your neck, face-- warm hands fumbling with clothing, hearts pounding.
4670	8.15	1.28	8.01	1.4	5.73	2.13	B	A moan of pleasure. Your body responds slowly at first, languorously, and then with a more urgent rhythm. You feel gentle hands, a soft mouth, your back arches.
4680	8.15	1.24	7.23	2.04	5.82	1.92	A	Together in bed, you feel the the gentle touch of naked skin against you.
4700	8.5	0.95	6.81	2.47	6.51	1.82	B	You are lying together, legs over legs, arms around bodies--kisses deep and sweet.  In love on a blanket, beneath a tree, on a warm summer day.
4710	8.46	1.28	8.3	1.31	5.33	2.25	A	Your skin tingles and you arch your back as your lover pleases you.
5500	7.71	1.55	5.16	2.44	7.35	1.59	B	The mountain air is clear and cold.  The sun glistens on the powder as you head down the slope in gliding turns, mastering the mountain, moving with a sure, easy grace.
