Description	Valence_value	Arousal_value
downriver	5.473000000000001	4.067372881355932
nan	3.672	2.452966101694915
menses	2.3040000000000003	6.423728813559322
foregoing	4.359999999999999	3.5423728813559325
hilarious	7.4	6.071949152542373
thigh	4.986	4.799830508474576
wealth	7.593	5.6242372881355935
speechless	4.601	3.3860169491525425
supervise	5.817	4.65677966101695
hallelujah	7.16	5.305084745762712
sigh	4.521	3.399915254237288
gypsy	4.0	6.2457627118644075
canal	6.047	3.427542372881356
arbitrator	4.08	4.406779661016949
abacus	5.08	2.9491525423728815
conjugate	5.664	4.169491525423729
ihatespiders	2.96	5.788135593220339
grasshopper	5.525	4.47771186440678
outer	5.303000000000001	3.935847457627119
tank	4.772666666666667	4.552542372881356
label	5.223000000000001	3.033220338983051
childhood	7.285	3.920084745762712
wash	6.04	3.752542372881356
fiver	4.952	4.727372881355932
recuperation	6.504	4.1525423728813555
education	7.146000000000001	4.440225988700565
bonkers	4.199	6.43406779661017
unassuming	4.92	2.5593220338983054
autopsy	2.818	5.239322033898306
omission	4.323	3.1261016949152545
waive	4.369	4.243728813559322
somewhat positive	8.36	4.932203389830509
upwards	6.792000000000001	4.330508474576272
scalpel	3.683	5.5111864406779665
kooky	5.382	5.606186440677966
submerged	3.696	5.084745762711865
swim	6.606999999999999	5.283474576271186
access	6.696	4.955084745762712
radiance	7.367999999999999	5.90677966101695
immediately	5.416	7.220338983050849
provisional	5.014	4.148983050847458
manager	5.41	4.70635593220339
exhibition	6.057	5.495084745762712
newscast	5.339	4.831864406779662
keyboard	5.377	3.28228813559322
succeed	7.728999999999999	6.859237288135594
elite	6.106999999999999	6.23813559322034
skating	6.96	6.313559322033898
witless	2.792	3.911101694915254
targeting	5.08	4.169491525423729
jacket	6.054	3.259745762711865
deluxe	7.048	5.378305084745763
dangerously	1.656	8.491525423728815
liquefied	5.496	4.533898305084746
lifesaver	7.752	5.921864406779662
memorandum	5.15	4.403728813559322
till	4.92	3.38135593220339
earlier	5.496	3.593220338983051
guards	4.584	6.228813559322034
fandango	4.92	5.618644067796611
resolve	6.265	3.630084745762712
dingo	5.757	4.430084745762713
saxophone	6.412	4.521440677966101
cap	5.448	2.9570338983050846
insure	6.135	3.9435593220338983
melodrama	4.137	6.237033898305085
strings	4.968	2.832372881355932
pique	4.336	4.8474576271186445
homeless	1.7730000000000001	4.401864406779661
extermination	3.085	6.6991525423728815
unpleasant	2.253	5.263305084745763
absolute	5.319	4.2061016949152545
illicit	2.592	6.054491525423729
legislate	5.5680000000000005	5.542372881355933
planter	5.840999999999999	3.5468644067796613
samurai	5.498	6.043728813559323
sacrifices	3.248	6.686440677966103
reckon	5.697	3.514745762711865
circumscribed	3.92	5.177966101694916
xoxo	6.832000000000001	5.016949152542374
serif	5.248	4.1440677966101696
householder	7.528	5.194915254237289
distant	3.786	3.1529661016949153
interstellar	6.307	5.754661016949154
valor	6.617	4.012966101694915
honeycomb	5.939	4.047033898305084
offset	5.771000000000001	3.9995762711864407
foot stool	5.010999999999999	3.353305084745763
trellis	3.392	4.8474576271186445
translocation	3.9360000000000004	5.796610169491526
enjoyable	8.315	4.728220338983051
haul	5.179	4.284915254237288
peri	4.584	4.279661016949152
oratory	5.816	4.610169491525425
genetic	5.143000000000001	3.4404237288135597
guerilla	2.168	7.771186440677966
obstacle	3.506	5.605084745762712
baseman	5.511	4.182627118644068
mediocrity	2.6470000000000002	3.7665254237288135
stinger	3.566	5.4333898305084745
dissatisfied	2.293	5.092203389830509
impound	2.76	4.907372881355933
crouching	3.088	4.245762711864407
conquer	5.421	6.619237288135594
sup	5.469	3.9720338983050847
kebab	5.599	3.9563559322033894
ankle	5.223333333333334	3.400734463276836
promissory	5.5680000000000005	5.279661016949153
medallist	7.367999999999999	7.567796610169491
admit	5.4319999999999995	3.7724576271186443
loss	2.198	5.307627118644069
transistor	4.775	4.288983050847458
doctor	5.91	5.006723163841809
antithesis	4.168	4.101694915254238
earring	6.057	4.303474576271187
authenticity	6.585	4.837118644067797
vindictive	2.488	6.142033898305085
knapsack	5.354	3.5783050847457627
wish	7.154	4.465423728813559
asteroids	3.888	6.491525423728815
cleft	3.904	3.9479661016949152
unrestricted	6.584	4.491525423728813
stability	6.838	2.743728813559322
performance	6.6	5.313474576271187
limb	4.75	3.3372881355932207
oval	4.7379999999999995	3.2415254237288136
narcotic	3.2086666666666663	5.73045197740113
tomb	2.8053333333333335	4.545819209039547
squint	4.24	4.113474576271186
scoundrel	2.501	6.5706779661016945
sketchy	3.877	4.814745762711865
pineapple	6.658	3.8490677966101696
headquarter	5.529999999999999	3.3499152542372883
crabby	2.872	6.7457627118644075
unfailing	6.0	5.991525423728814
franchise	5.651999999999999	4.05
brad	4.92	3.8728813559322033
stillborn	3.168	5.008474576271187
feasible	6.196	4.049152542372881
fraud	2.2026666666666666	5.790225988700565
jelly	5.922666666666667	3.477231638418079
balding	3.2329999999999997	3.533220338983051
slush	4.585333333333334	3.6328248587570626
straightforward	6.6899999999999995	2.960677966101695
unwise	2.984	5.149830508474576
soppy	5.08	3.61864406779661
nodule	3.496	4.220338983050848
repay	4.965999999999999	4.808050847457627
autism	3.04	4.4737288135593225
punk	4.341	5.044576271186441
wiring	4.984999999999999	3.735169491525424
chieftain	3.7439999999999998	5.093220338983051
aligned	5.664	2.9406779661016955
uphill	4.168	6.737288135593221
notable	6.515000000000001	3.9368644067796614
punishing	1.752	8.220338983050848
lightbulb	5.581333333333333	3.313728813559322
eyeful	6.353	4.998728813559323
vet	5.099	3.975
tired	3.145	3.483305084745763
heartfelt	7.465999999999999	4.084491525423729
impede	3.559	4.816101694915254
talker	4.775	4.889406779661018
grader	5.462	3.338305084745763
scariest	2.336	7.923728813559323
hygienic	6.331	3.2732203389830508
penicillin	5.003	3.8213559322033896
unobstructed	5.664	4.338983050847458
incur	4.148	5.13135593220339
washer	5.4559999999999995	3.4076271186440676
breeze	7.385333333333333	3.528983050847458
firstworldprobs	4.664	5.796610169491526
mainstream	5.3870000000000005	4.228135593220339
flank	4.7669999999999995	4.200762711864407
artwork	7.4639999999999995	3.9544067796610167
granite	5.313000000000001	3.6384745762711863
spurred	5.496	6.40677966101695
woefully	2.6319999999999997	5.52542372881356
flurry	4.548	5.61542372881356
congruence	6.247999999999999	4.610169491525425
itching	2.664	6.4576271186440675
conformation	5.976	4.296610169491526
official	5.959	4.719152542372882
beginner	5.035	4.088983050847458
panicky	3.556	7.88135593220339
confrontation	2.493	6.571525423728814
bunghole	3.5940000000000003	4.405169491525424
atrocious	2.362	5.801525423728814
unsolved	3.084	4.697627118644068
strap	4.57	4.187033898305085
espresso	6.548	5.557203389830509
inefficient	3.285	4.234237288135594
coop	5.896	4.38135593220339
apache	5.848000000000001	4.142372881355932
pained	1.896	4.8474576271186445
comeback	5.89	4.483135593220339
desire	7.636	6.674858757062147
substantiate	5.309	4.39135593220339
annular	3.48	3.8728813559322033
collocation	6.096	3.6610169491525424
custodial	4.696999999999999	3.97271186440678
goodbye	2.92	3.906779661016949
barbed	3.083	5.372033898305085
southern	5.543	2.989915254237288
bug	3.369	5.453728813559322
buoy	5.698	2.831525423728814
tenable	6.928	4.101694915254238
breast	6.721333333333334	5.001920903954802
quash	3.168	6.449152542372882
exposed	4.768000000000001	6.211864406779661
champion	7.963333333333334	6.219265536723164
chopping	5.48	5.90677966101695
resignation	3.1750000000000003	4.316101694915254
thicken	4.248	3.983050847457627
prig	3.9819999999999993	3.7678813559322033
hunter	3.336	7.533898305084747
savings	7.439	3.56135593220339
rider	5.720000000000001	5.166864406779661
clash	3.652	7.029915254237288
antagonist	2.92	5.822033898305085
lineal	5.168	2.0508474576271185
disinclination	2.0	4.771186440677966
peroxide	4.8870000000000005	4.3616101694915255
defiance	3.907	6.5401694915254245
fart	3.3009999999999997	4.535254237288136
denominational	4.664	3.788135593220339
